how,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport,NA
0,3,0,0,3,0,0,1,0,0,0,5
1,2,0,0,0,0,0,0,0,0,0,3
2,0,0,0,0,2,0,2,0,0,0,1
3,0,0,0,3,0,0,0,0,0,0,2
4,0,0,0,0,2,0,0,0,0,0,0
5,0,0,0,0,1,0,0,0,0,0,1
6,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,1
10,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,32,0,0,0,0
13,0,0,0,1,0,1,20,0,0,0,0
14,0,0,0,0,0,0,12,0,0,0,1
15,0,0,0,0,0,0,4,0,0,0,2
16,0,0,0,1,0,0,0,0,0,0,4
17,0,0,0,2,0,0,1,0,4,0,14
18,0,0,0,0,0,0,0,0,0,0,3
19,0,0,0,2,1,0,0,0,4,0,4
20,0,0,0,2,0,0,0,0,2,0,5
21,0,0,0,1,1,0,0,0,2,0,5
22,0,0,0,1,0,0,4,0,0,0,4
23,2,0,0,5,2,0,0,0,0,0,5
24,0,0,0,5,0,0,0,0,2,0,4
25,0,0,0,0,2,0,0,0,0,1,2
26,0,0,0,0,1,0,1,0,0,0,4
27,0,0,0,0,1,0,1,0,1,0,1
28,0,0,0,0,0,0,0,0,0,0,1
29,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,2
31,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,3
36,0,0,0,0,0,0,1,0,0,0,2
37,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,3,0,0,0,4
39,0,0,0,1,0,0,1,0,0,0,9
40,0,0,0,0,0,0,0,0,0,0,5
41,0,0,0,0,0,0,0,0,0,0,1
42,0,0,0,0,0,0,2,0,1,0,1
43,0,0,0,0,0,0,0,0,0,0,1
44,0,0,0,0,0,0,0,0,0,0,2
45,0,0,0,0,0,0,2,0,0,0,2
46,0,0,0,2,0,2,0,1,0,0,5
