venue	lon	lat	senti	txt
AMC Loews Waterfront 22	-79.9177	40.4066	0.252	I'm at AMC Loews Waterfront 22 - for Pitch Perfect 2 in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for San Andreas: An IMAX 3D Experience in Homestead, PA w/
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for Entourage in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for Spy in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for Goosebumps in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	-0.141	I'm at AMC Loews Waterfront 22 - for Paranormal Activity: The Ghost Dimension in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for Spectre: The IMAX Experience in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for San Andreas: An IMAX 3D Experience in Homestead, PA w/
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for Entourage in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for Spy in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for Clue in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for The Intern in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for Hotel Transylvania 2 3D in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for The Martian in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - (Homestead, PA) w/ 7 others
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - w/
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for Transformers: Age of Extinction An IMAX...
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for 22 Jump Street (Homestead, PA)
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for Transformers: Age of Extinction An IMAX...
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for Chef (Homestead, PA) w/ 6 others
AMC Loews Waterfront 22	-79.9177	40.4066	0.172	I'm at AMC Loews Waterfront 22 - for Think Like A Man Too (Homestead, PA)
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for 22 Jump Street (Homestead, PA) w/ 2 others
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for 22 Jump Street w/
AMC Loews Waterfront 22	-79.9177	40.4066	0.054	I'm at AMC Loews Waterfront 22 - for Planes: Fire &amp; Rescue (Homestead, PA)
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - (Homestead, PA) w/ 2 others
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - in Homestead, PA w/
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - in Homestead, PA w/
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - in Homestead, PA w/ 3 others
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - in Homestead, PA w/ 2 others
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for Guardians of the Galaxy: An IMAX 3D Experience in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for Tammy in Homestead, PA w/ 4 others
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for Guardians of the Galaxy 3D in Homestead, PA w/ 5 others
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for Guardians of the Galaxy in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	-0.125	I'm at AMC Loews Waterfront 22 for The Hunger Games: Mockingjay - Part 1 in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for The Maze Runner in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for Dracula Untold in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for Dracula Untold: The IMAX Experience in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for Men, Women &amp; Children in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for Annabelle in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for Ouija in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for St. Vincent in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for Gone Girl in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for Interstellar in 4K Digital in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for Gone Girl in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	0.247	I'm at AMC Loews Waterfront 22 - for Big Hero 6 in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	-0.125	I'm at AMC Loews Waterfront 22 - for The Hunger Games: Mockingjay - Part 1 in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	-0.125	I'm at AMC Loews Waterfront 22 - for The Hunger Games: Mockingjay - Part 1 in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for The Hobbit Marathon IMAX 3D in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	-0.133	I'm at AMC Loews Waterfront 22 - for The Hobbit: The Battle of the Five Armies in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for Annie in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for The Gambler in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for Foxcatcher in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 for Inherent Vice in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	-0.126	I'm at AMC Loews Waterfront 22 - for The Hobbit: The Battle of the Five Armies An IMAX 3D Experience
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for Big Eyes in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for American Sniper in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for American Sniper in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for Wild in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for The Wedding Ringer in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for Kingsman: The Secret Service in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for Kingsman: The Secret Service in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	0.085	I'm at AMC Loews Waterfront 22 - for Fifty Shades of Grey in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for Kingsman: The Secret Service in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for Kingsman: The Secret Service in Homestead, PA w/
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for Kingsman: The Secret Service in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for Chappie in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for Chappie: The IMAX Experience in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for Chappie: The IMAX Experience in Homestead, PA w/
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for Ride Along (Homestead, PA)
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for Frozen (2013) (Homestead, PA) w/ 2 others
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for 12 Years a Slave (Homestead, PA) w/ 3 others
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for 12 Years a Slave (Homestead, PA) w/ 2 others
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for The LEGO Movie (Homestead, PA) w/ 10 others
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for The Monuments Men (Homestead, PA)
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for Need for Speed 3D (Homestead, PA) w/ 6 others
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for Muppets Most Wanted (Homestead, PA) w/ 2 others
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for Noah (Homestead, PA) w/ 4 others
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for Captain America: The Winter Soldier 3D (Homestead, PA) w/ 2 others
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for Captain America: The Winter Soldier IMAX 3D (Homestead, PA)
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for Oculus (Homestead, PA) w/ 2 others
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for Rio The Movie (Homestead, PA)
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for Brick Mansions (Homestead, PA) w/ 5 others
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for Neighbors (Homestead, PA) w/ 2 others
AMC Loews Waterfront 22	-79.9177	40.4066	0.297	I'm at AMC Loews Waterfront 22 - for The Amazing Spide...
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for Divergent (Homestead, PA) w/ 5 others
AMC Loews Waterfront 22	-79.9177	40.4066	0.241	I'm at AMC Loews Waterfront 22 - for The Amazing Spider-Man 2 3D (Homestead, PA)
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for X-Men: Days of Future Past w/
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for Million Dollar Arm (Homestead, PA)
AMC Loews Waterfront 22	-79.9177	40.4066	-0.231	I'm at AMC Loews Waterfront 22 - for A Million Ways to Die in the West
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for X-Men: Days of Future Past (Homestead, PA)
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for Maleficent (Homestead, PA)
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for X-Men: Days of Future Past (Homestead, PA)
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for The Signal (Homestead, PA) w/ 3 others
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - (Homestead, PA) w/ 2 others
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for Godzilla (2014) (Homestead, PA)
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for Edge of Tomorrow (Homestead, PA)
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for Magic Mike XXL in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for Inside Out in Homestead, PA
AMC Loews Waterfront 22	-79.9177	40.4066	0.000	I'm at AMC Loews Waterfront 22 - for The Peanuts Movie in Homestead, PA
