venue	lon	lat	user	year	doy	dow	hour	senti_val	txt
Moore Park Soccer Field	-80.0126	40.4065	Turki_3_O	2015	21	3	4	0.000	Just posted a photo Moore Park Soccer Field
Hill District	-79.9860	40.4418	LegacyAvenue	2015	25	0	20	0.000	Just posted a photo Hill District
Mr.Smalls Theater	-79.9722	40.4810	gollygmissmolly	2015	65	5	4	0.000	Just posted a photo Mr.Smalls Theater
Just posted a photo_2	-80.0350	40.3788	worldfamouswrap	2014	303	4	22	0.000	Just posted a photo
Just posted a photo_2	-80.0350	40.3788	worldfamouswrap	2014	339	5	19	0.000	Just posted a photo
Route 28	-79.9884	40.4574	JoshLouie	2015	2	5	22	0.000	Just posted a photo Route 28
Route 28	-79.9884	40.4574	JoshLouie	2015	2	5	22	0.000	Just posted a photo Route 28
Route 28	-79.9884	40.4574	JoshLouie	2015	2	5	22	0.000	Just posted a photo Route 28
York Way	-79.9546	40.4381	tsismour	2015	27	2	2	0.000	Just posted a photo York Way
U.S. Steel Tower_1	-79.9947	40.4413	graydonlanduse	2015	292	1	15	0.000	Just posted a photo U.S. Steel Tower
U.S. Steel Tower_1	-79.9947	40.4413	graydonlanduse	2015	292	1	15	0.000	Just posted a photo U.S. Steel Tower
The BeerHive	-79.9828	40.4521	PuMpZorDuNkS	2014	43	3	1	0.000	Just posted a photo The BeerHive
The BeerHive	-79.9828	40.4521	chrisPURE	2014	53	6	1	0.000	Just posted a photo The BeerHive
The BeerHive	-79.9828	40.4521	PuMpZorDuNkS	2014	43	3	1	0.000	Just posted a photo The BeerHive
Monterey Bay Fish Grotto	-80.0210	40.4388	BoshuaBean	2014	307	1	3	0.000	Just posted a photo Monterey Bay Fish Grotto
Monterey Bay Fish Grotto	-80.0210	40.4388	Ying_ToYourYang	2015	194	1	21	0.000	Just posted a photo Monterey Bay Fish Grotto
Monterey Bay Fish Grotto	-80.0210	40.4388	Ying_ToYourYang	2015	194	1	21	0.000	Just posted a photo Monterey Bay Fish Grotto
Big Tom's Barbershop	-79.9791	40.4442	Bigtom247	2014	295	3	18	0.000	Just posted a photo Big Tom's Barbershop
Big Tom's Barbershop	-79.9791	40.4442	Bigtom247	2014	295	3	18	0.000	Just posted a photo Big Tom's Barbershop
Big Tom's Barbershop	-79.9791	40.4442	Bigtom247	2014	295	3	18	0.000	Just posted a photo Big Tom's Barbershop
Gran Prix	-79.8652	40.3867	AFMJen	2014	187	0	20	0.000	Just posted a photo Gran Prix
The Livermore	-79.9250	40.4604	JoshLouie	2014	96	0	3	0.000	Just posted a photo The Livermore
The Livermore	-79.9250	40.4604	JoshLouie	2014	96	0	3	0.000	Just posted a photo The Livermore
Carnegie Museum Of Art	-79.9494	40.4435	theBee_word	2014	72	4	4	0.000	Just posted a photo Carnegie Museum Of Art
Potomac Ave. T Station	-80.0363	40.3973	gregdrupp	2015	240	5	13	0.000	Just posted a photo Potomac Ave. T Station
Potomac Ave. T Station	-80.0363	40.3973	gregdrupp	2015	240	5	13	0.000	Just posted a photo Potomac Ave. T Station
Einstein Bros Bagels - Greentree	-80.0454	40.4185	pes_2386	2015	247	5	11	0.000	Just posted a photo Einstein Bros Bagels - Greentree
Le Mont - Pittsburgh	-80.0178	40.4378	jtdxn	2015	300	2	1	0.000	Just posted a photo Le Mont - Pittsburgh
Birmingham Bridge	-79.9735	40.4361	gigs412	2014	77	2	23	0.000	Just posted a photo Birmingham Bridge
City of Pittsburgh_2	-79.9932	40.4447	KMGKiewitSafe	2015	196	3	16	0.000	Just posted a photo City of Pittsburgh
City of Pittsburgh_2	-79.9932	40.4447	KMGKiewitSafe	2015	196	3	16	0.000	Just posted a photo City of Pittsburgh
City of Pittsburgh_2	-79.9932	40.4447	cccourtx3	2015	246	4	1	0.000	Just posted a photo City of Pittsburgh
Somewhere in Southside	-79.9720	40.4263	saamxoo	2015	10	6	14	0.000	Just posted a photo Somewhere in Southside
Somewhere in Southside	-79.9720	40.4263	saamxoo	2015	10	6	14	0.000	Just posted a photo Somewhere in Southside
tk	-80.0022	40.4424	obvi_g	2015	304	6	21	0.000	Just posted a photo tk
smile	-79.9372	40.4832	NitaaM419	2015	206	6	1	0.455	Just posted a photo smile
Hamburg Hall - Carnegie Mellon University's Heinz College	-79.9450	40.4443	bluesource	2014	284	6	20	0.000	Just posted a photo Hamburg Hall - Carnegie Mellon University's Heinz College
Hamburg Hall - Carnegie Mellon University's Heinz College	-79.9450	40.4443	sky_xutianyu	2015	305	0	5	0.000	Just posted a photo Hamburg Hall - Carnegie Mellon University's Heinz College
Hamburg Hall - Carnegie Mellon University's Heinz College	-79.9450	40.4443	sky_xutianyu	2015	281	4	4	0.000	Just posted a photo Hamburg Hall - Carnegie Mellon University's Heinz College
Hamburg Hall - Carnegie Mellon University's Heinz College	-79.9450	40.4443	sky_xutianyu	2015	281	4	4	0.000	Just posted a photo Hamburg Hall - Carnegie Mellon University's Heinz College
Hamburg Hall - Carnegie Mellon University's Heinz College	-79.9450	40.4443	bluesource	2014	284	6	20	0.000	Just posted a photo Hamburg Hall - Carnegie Mellon University's Heinz College
Hamburg Hall - Carnegie Mellon University's Heinz College	-79.9450	40.4443	bluesource	2014	284	6	20	0.000	Just posted a photo Hamburg Hall - Carnegie Mellon University's Heinz College
Hamburg Hall - Carnegie Mellon University's Heinz College	-79.9450	40.4443	sky_xutianyu	2015	281	4	4	0.000	Just posted a photo Hamburg Hall - Carnegie Mellon University's Heinz College
Chicago Illinois	-79.9815	40.4298	ayesha_jah	2014	218	3	1	0.000	Just posted a photo Chicago Illinois
Waterworks Mall	-79.8892	40.4878	BenzaBurgh	2014	28	2	5	0.000	Just posted a photo Waterworks Mall
Golds Gym	-80.0040	40.4409	Moss412	2014	120	3	3	0.000	Just posted a photo Golds Gym
Golds Gym	-80.0040	40.4409	Moss412	2014	120	3	3	0.000	Just posted a photo Golds Gym
Golds Gym	-80.0040	40.4409	Moss412	2014	120	3	3	0.000	Just posted a photo Golds Gym
Smithfield United Church Of Christ_2	-80.0079	40.4490	taker3277	2014	80	5	23	0.286	Just posted a photo Smithfield United Church Of Christ
Smithfield United Church Of Christ_2	-80.0079	40.4490	hunter2979	2014	144	6	10	0.286	Just posted a photo Smithfield United Church Of Christ
Smithfield United Church Of Christ_2	-80.0079	40.4490	taker3277	2014	80	5	23	0.286	Just posted a photo Smithfield United Church Of Christ
Smithfield United Church Of Christ_2	-80.0079	40.4490	hunter2979	2014	144	6	10	0.286	Just posted a photo Smithfield United Church Of Christ
Smithfield United Church Of Christ_2	-80.0079	40.4490	cerebral2979	2014	177	4	21	0.286	Just posted a photo Smithfield United Church Of Christ
Smithfield United Church Of Christ_2	-80.0079	40.4490	taker3277	2014	31	5	13	0.286	Just posted a photo Smithfield United Church Of Christ
Smithfield United Church Of Christ_2	-80.0079	40.4490	taker3277	2014	80	5	21	0.286	Just posted a photo Smithfield United Church Of Christ
Kbox	-79.9490	40.4459	doubleorabbit	2015	184	5	5	0.000	Just posted a photo Kbox
Smithfield United Church Of Christ_1	-79.9972	40.4418	taker3277	2014	30	4	0	0.286	Just posted a photo Smithfield United Church Of Christ
Smithfield United Church Of Christ_1	-79.9972	40.4418	taker3277	2014	30	4	0	0.286	Just posted a photo Smithfield United Church Of Christ
High on Mt Washington	-80.0129	40.4283	Sunnynikki77	2014	223	1	10	0.000	Just posted a photo High on Mt Washington
