how,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport,NA
0,2,0,0,0,2,0,0,0,0,0,2
1,1,0,0,1,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,0,0
3,3,0,0,1,0,0,0,0,0,0,3
4,1,0,0,3,0,0,0,0,0,0,0
5,0,0,0,1,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0
12,1,0,0,0,0,0,0,0,0,0,1
13,0,0,0,0,0,0,0,0,0,0,0
14,1,0,0,0,0,0,1,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,1
16,2,0,0,0,0,0,0,0,0,0,1
17,5,0,0,0,0,0,0,0,0,0,3
18,2,0,0,0,0,0,0,0,0,1,2
19,5,0,0,0,0,0,0,0,0,0,0
20,4,0,0,1,0,0,0,0,0,0,0
21,2,0,0,0,2,0,1,0,0,0,2
22,2,0,0,0,2,0,0,0,0,0,3
23,1,0,0,0,6,0,0,0,0,0,1
24,5,0,0,1,0,1,0,0,0,0,1
25,1,0,0,0,0,0,0,0,0,0,2
26,2,0,0,2,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0
35,1,0,0,0,0,0,0,0,0,0,1
36,1,0,0,0,0,0,0,0,0,0,5
37,0,0,0,0,0,0,0,0,0,0,6
38,0,0,0,0,0,0,0,0,0,0,1
39,0,0,0,0,2,0,0,0,0,0,2
40,0,0,0,0,2,0,0,0,0,0,0
41,1,0,0,0,2,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0
43,0,1,0,0,0,0,0,0,0,1,1
44,4,0,0,2,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,2
46,0,0,0,0,0,0,0,0,0,0,2
47,2,0,0,3,0,0,0,0,0,0,2
48,0,0,0,1,0,0,0,0,0,0,0
49,1,0,0,0,0,0,0,0,0,0,0
50,1,0,0,1,2,0,0,0,0,0,0
51,4,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,1
53,0,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0,1
55,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,1,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,7
61,1,0,0,0,0,0,0,0,0,0,6
62,3,0,0,1,0,0,0,0,0,0,3
63,0,3,0,0,2,0,0,0,0,0,3
64,0,2,0,0,0,0,0,0,0,0,0
65,3,0,0,0,0,0,0,0,0,0,1
66,2,7,0,0,2,0,0,0,0,1,0
67,0,1,0,1,0,0,0,0,0,0,1
68,0,0,0,1,0,0,1,0,0,0,0
69,0,0,0,0,0,0,0,0,0,1,0
70,0,5,0,0,0,0,0,0,0,1,0
71,0,0,0,1,0,0,0,0,0,1,0
72,0,0,0,0,0,0,0,0,0,0,0
73,0,0,0,1,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0,0,0,1
77,0,0,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0,0,2
79,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0,0,0,0,1
83,0,0,0,0,0,0,0,0,0,0,1
84,1,0,0,0,0,0,0,0,0,0,6
85,0,0,0,0,0,0,0,0,0,0,5
86,2,0,0,0,0,0,0,0,0,0,3
87,1,3,0,0,0,0,0,0,0,1,4
88,2,0,0,1,0,0,0,0,0,0,1
89,3,0,0,2,0,0,0,0,0,0,1
90,0,2,0,0,0,0,0,0,0,0,0
91,2,4,0,0,0,0,0,0,0,0,1
92,0,5,0,0,0,0,0,0,0,0,1
93,0,0,0,1,0,0,0,0,0,0,0
94,0,0,0,1,2,0,0,0,0,0,0
95,0,0,0,0,2,0,0,0,0,0,0
96,0,0,0,0,4,0,0,0,0,0,1
97,0,0,0,0,0,0,0,0,0,0,0
98,1,0,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0
101,0,0,0,0,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0,0,0,0,0
106,2,0,0,0,0,0,0,0,0,0,1
107,0,0,0,0,0,0,0,0,0,0,0
108,1,0,0,1,0,0,0,0,0,0,3
